province,city,m160025,m1675,m1750,f160025,f1675,f1750,seafarers_16001750,pop_year_1600,pop_value_1600,pop_year_1675,pop_value_1675,pop_year_1750,pop_value_1750,treatment_intensity,latitude,longitude
GELDERLAND,Groenlo,73.33333333333333,90,91.8918918918919,18.567251461988302,50.98039215686274,42.1875,101,1541,1148,1670,1400,NA,NA,0.08797909407665505,52.04167,6.61111
GELDERLAND,Borculo,84.21052631578947,90.32258064516128,81.08108108108108,34.05797101449275,53.125,71.05263157894737,85,1560,600,1670,700,NA,NA,0.14166666666666666,52.11583,6.52222
GELDERLAND,Nijkerk,53.84615384615384,87.5,77.21518987341773,37.5,59.523809523809526,62.06896551724138,165,1560,1200,1650,1400,1749,2400,0.1375,52.22,5.48611
GELDERLAND,Tiel,67.5438596491228,78.66666666666666,85.18518518518519,57.5,61.53846153846154,53.73134328358209,357,1560,2500,1650,2300,1741,3000,0.1428,51.88667,5.42917
GELDERLAND,Harderwijk,70.53846153846153,68.11594202898551,88.13559322033898,31.00667408231368,56.98924731182796,70.37037037037037,246,1560,2500,1650,3000,1749,2350,0.0984,52.34167,5.62083
GELDERLAND,Doesburg,70.05108556832694,76.59574468085107,90.1639344262295,43.89204545454545,54.45544554455446,67.08860759493672,279,1559,2093,1653,3266,1741,3000,0.1333014811275681,52.0125,6.13889
GELDERLAND,Arnhem,75.71428571428572,81.3953488372093,89.70588235294117,38.27913279132791,55.94405594405595,65.80645161290323,705,1600,7000,1670,6500,1749,5600,0.10071428571428571,51.98,5.91111
GELDERLAND,Nijmegen,73.37307501241928,74.17218543046357,80.92485549132948,51.111111111111114,44.230769230769226,60.43956043956044,1240,1560,10000,1670,9000,1741,12000,0.124,51.8425,5.85278
GELDERLAND,Zutphen,80.30303030303031,84.04907975460122,94.64285714285714,45.133381398702234,64.20454545454545,71.14754098360656,627,1560,6000,1672,5000,1741,5040,0.1045,52.13833,6.20139
NOORDHOLLAND,Alkmaar,64.60501786546527,85.9375,95.91836734693877,49.74405156886909,44.06779661016949,75,880,1560,8000,1660,13650,1732,12500,0.11,52.63167,4.74861
NOORDHOLLAND,Haarlem,65.15528383467385,68.05111821086261,77.25490196078432,40.09813384813384,53.21888412017167,56.776556776556774,3677,1560,16000,1665,38000,1748,24695,0.2298125,52.38084,4.63683
NOORDHOLLAND,Hoorn,57.64993880048959,80.72289156626506,78,27.211235955056182,52.5,47.540983606557376,3203,1550,8000,1670,16000,1732,11060,0.400375,52.6425,5.05972
NOORDHOLLAND,Weesp,68.95161290322581,71.42857142857143,88.42105263157895,35.769230769230774,56.98924731182796,64.3312101910828,273,1564,1700,1672,3300,1732,2400,0.16058823529411764,52.3075,5.04167
NOORDHOLLAND,Enkhuizen,59.358142710822804,77.92207792207793,92,18.205128205128204,28.57142857142857,67.5,3214,1561,7750,1632,19150,1732,9380,0.4147096774193548,52.70333,5.29167
NOORDHOLLAND,Naarden,70.07389162561577,50.617283950617285,79.59183673469387,33.8082315694256,40.42553191489361,59.25925925925925,204,1564,1700,1670,2800,1732,2800,0.12,52.29583,5.1625
NOORDHOLLAND,Texel,62.61343012704174,80.76923076923077,100,25.607416879795398,38.20224719101123,83.33333333333334,174,NA,NA,NA,NA,NA,NA,NA,53.08333,4.83333
OVERIJSSEL,Almelo,67.89772727272727,63.1578947368421,85.9375,15.151515151515149,40.78947368421053,50.943396226415096,102,1560,800,1675,1170,1748,2229,0.1275,52.35667,6.6625
OVERIJSSEL,Deventer,78.78754047113989,90.82125603864735,89.81481481481481,46.34703196347032,66.07142857142857,72.1311475409836,877,1599,6780,1675,6700,1748,7818,0.1293510324483776,52.255,6.16389
OVERIJSSEL,Kampen,68.40360791132362,71.75141242937853,87.6923076923077,38.66550116550116,47.257383966244724,63.63636363636363,612,1599,6600,1675,5974,1748,5652,0.09272727272727273,52.555,5.91111
OVERIJSSEL,Oldenzaal,61.57407407407407,69.23076923076923,74,25.523399014778324,47.41379310344828,54.21686746987952,111,1560,1500,1670,1600,1748,1960,0.074,52.31333,6.92917
OVERIJSSEL,Ootmarsum,79.88505747126436,77.41935483870968,93.87755102040816,35.66066066066067,46.26865671641791,63.52941176470588,96,1560,600,1670,600,1748,1200,0.16,52.40833,6.90139
OVERIJSSEL,Zwolle,69.43152454780362,76.77725118483413,88.54625550660793,32.55425448868072,55.907780979827095,60.86956521739131,1237,1599,6500,1675,6963,1748,11931,0.19030769230769232,52.5125,6.09444
GRONINGEN,Groningen,62.794091154746894,76.42857142857142,85.06224066390041,24.79010163499779,34.78260869565217,50.47923322683706,18,1600,16600,1670,20600,1770,23296,0.0010843373493975904,53.21917,6.56667
FRIESLAND,Dokkum,44.35746901500326,60,83.33333333333334,9.735576923076923,44.44444444444444,30.76923076923077,429,1560,2000,1689,3177,1744,2855,0.2145,53.32224,5.99697
FRIESLAND,Franeker,55.71428571428571,76.92307692307693,90.32258064516128,28.294117647058822,42.857142857142854,60,302,1560,2200,1689,3623,1744,3493,0.13727272727272727,53.18546,5.54123
